municipio,trimestre,Nivel de Instrução,quantidade de escolaridade
Boa Vista (RR),4º trimestre 2023,Ensino fundamental incompleto ou equivalente,52.0
Boa Vista (RR),4º trimestre 2023,Ensino fundamental completo ou equivalente,22.0
Boa Vista (RR),4º trimestre 2023,Ensino médio incompleto ou equivalente,31.0
Boa Vista (RR),4º trimestre 2023,Ensino médio completo ou equivalente,124.0
Boa Vista (RR),4º trimestre 2023,Ensino superior incompleto ou equivalente,26.0
Boa Vista (RR),4º trimestre 2023,Ensino superior completo ou equivalente,63.0
Boa Vista (RR),4º trimestre 2023,Não determinado,0.0
Boa Vista (RR),1º trimestre 2024,Sem instrução e menos de 1 ano de estudo,10.0
Boa Vista (RR),1º trimestre 2024,Ensino fundamental incompleto ou equivalente,47.0
Boa Vista (RR),1º trimestre 2024,Ensino fundamental completo ou equivalente,22.0
Boa Vista (RR),1º trimestre 2024,Ensino médio incompleto ou equivalente,33.0
Boa Vista (RR),1º trimestre 2024,Ensino médio completo ou equivalente,125.0
Boa Vista (RR),1º trimestre 2024,Ensino superior incompleto ou equivalente,30.0
Boa Vista (RR),1º trimestre 2024,Ensino superior completo ou equivalente,64.0
Boa Vista (RR),1º trimestre 2024,Não determinado,0.0
Boa Vista (RR),2º trimestre 2024,Sem instrução e menos de 1 ano de estudo,11.0
Boa Vista (RR),2º trimestre 2024,Ensino fundamental incompleto ou equivalente,51.0
Boa Vista (RR),2º trimestre 2024,Ensino fundamental completo ou equivalente,22.0
Boa Vista (RR),2º trimestre 2024,Ensino médio incompleto ou equivalente,35.0
Boa Vista (RR),2º trimestre 2024,Ensino médio completo ou equivalente,123.0
Boa Vista (RR),2º trimestre 2024,Ensino superior incompleto ou equivalente,32.0
Boa Vista (RR),2º trimestre 2024,Ensino superior completo ou equivalente,61.0
Boa Vista (RR),2º trimestre 2024,Não determinado,0.0
Boa Vista (RR),3º trimestre 2024,Sem instrução e menos de 1 ano de estudo,11.0
Boa Vista (RR),3º trimestre 2024,Ensino fundamental incompleto ou equivalente,53.0
Boa Vista (RR),3º trimestre 2024,Ensino fundamental completo ou equivalente,20.0
Boa Vista (RR),3º trimestre 2024,Ensino médio incompleto ou equivalente,32.0
Boa Vista (RR),3º trimestre 2024,Ensino médio completo ou equivalente,124.0
Boa Vista (RR),3º trimestre 2024,Ensino superior incompleto ou equivalente,32.0
Boa Vista (RR),3º trimestre 2024,Ensino superior completo ou equivalente,64.0
Boa Vista (RR),3º trimestre 2024,Não determinado,0.0
Boa Vista (RR),4º trimestre 2024,Sem instrução e menos de 1 ano de estudo,9.0
Boa Vista (RR),4º trimestre 2024,Ensino fundamental incompleto ou equivalente,56.0
Boa Vista (RR),4º trimestre 2024,Ensino fundamental completo ou equivalente,16.0
Boa Vista (RR),4º trimestre 2024,Ensino médio incompleto ou equivalente,32.0
Boa Vista (RR),4º trimestre 2024,Ensino médio completo ou equivalente,130.0
Boa Vista (RR),4º trimestre 2024,Ensino superior incompleto ou equivalente,30.0
Boa Vista (RR),4º trimestre 2024,Ensino superior completo ou equivalente,65.0
Boa Vista (RR),4º trimestre 2024,Não determinado,0.0
Belém (PA),1º trimestre 2012,Sem instrução e menos de 1 ano de estudo,22.0
Belém (PA),1º trimestre 2012,Ensino fundamental incompleto ou equivalente,343.0
Belém (PA),1º trimestre 2012,Ensino fundamental completo ou equivalente,117.0
Belém (PA),1º trimestre 2012,Ensino médio incompleto ou equivalente,130.0
Belém (PA),1º trimestre 2012,Ensino médio completo ou equivalente,350.0
Belém (PA),1º trimestre 2012,Ensino superior incompleto ou equivalente,50.0
Belém (PA),1º trimestre 2012,Ensino superior completo ou equivalente,100.0
Belém (PA),1º trimestre 2012,Não determinado,0.0
Belém (PA),2º trimestre 2012,Sem instrução e menos de 1 ano de estudo,25.0
Belém (PA),2º trimestre 2012,Ensino fundamental incompleto ou equivalente,329.0
Belém (PA),2º trimestre 2012,Ensino fundamental completo ou equivalente,120.0
Belém (PA),2º trimestre 2012,Ensino médio incompleto ou equivalente,117.0
Belém (PA),2º trimestre 2012,Ensino médio completo ou equivalente,380.0
Belém (PA),2º trimestre 2012,Ensino superior incompleto ou equivalente,45.0
Belém (PA),2º trimestre 2012,Ensino superior completo ou equivalente,97.0
Belém (PA),2º trimestre 2012,Não determinado,0.0
Belém (PA),3º trimestre 2012,Sem instrução e menos de 1 ano de estudo,23.0
Belém (PA),3º trimestre 2012,Ensino fundamental incompleto ou equivalente,332.0
Belém (PA),3º trimestre 2012,Ensino fundamental completo ou equivalente,115.0
Belém (PA),3º trimestre 2012,Ensino médio incompleto ou equivalente,121.0
Belém (PA),3º trimestre 2012,Ensino médio completo ou equivalente,372.0
Belém (PA),3º trimestre 2012,Ensino superior incompleto ou equivalente,44.0
Belém (PA),3º trimestre 2012,Ensino superior completo ou equivalente,99.0
Belém (PA),3º trimestre 2012,Não determinado,0.0
Belém (PA),4º trimestre 2012,Sem instrução e menos de 1 ano de estudo,21.0
Belém (PA),4º trimestre 2012,Ensino fundamental incompleto ou equivalente,332.0
Belém (PA),4º trimestre 2012,Ensino fundamental completo ou equivalente,111.0
Belém (PA),4º trimestre 2012,Ensino médio incompleto ou equivalente,111.0
Belém (PA),4º trimestre 2012,Ensino médio completo ou equivalente,385.0
Belém (PA),4º trimestre 2012,Ensino superior incompleto ou equivalente,48.0
Belém (PA),4º trimestre 2012,Ensino superior completo ou equivalente,99.0
Belém (PA),4º trimestre 2012,Não determinado,0.0
Belém (PA),1º trimestre 2013,Sem instrução e menos de 1 ano de estudo,20.0
Belém (PA),1º trimestre 2013,Ensino fundamental incompleto ou equivalente,315.0
Belém (PA),1º trimestre 2013,Ensino fundamental completo ou equivalente,118.0
Belém (PA),1º trimestre 2013,Ensino médio incompleto ou equivalente,104.0
Belém (PA),1º trimestre 2013,Ensino médio completo ou equivalente,385.0
Belém (PA),1º trimestre 2013,Ensino superior incompleto ou equivalente,50.0
Belém (PA),1º trimestre 2013,Ensino superior completo ou equivalente,117.0
Belém (PA),1º trimestre 2013,Não determinado,0.0
Belém (PA),2º trimestre 2013,Sem instrução e menos de 1 ano de estudo,22.0
Belém (PA),2º trimestre 2013,Ensino fundamental incompleto ou equivalente,304.0
Belém (PA),2º trimestre 2013,Ensino fundamental completo ou equivalente,126.0
Belém (PA),2º trimestre 2013,Ensino médio incompleto ou equivalente,102.0
Belém (PA),2º trimestre 2013,Ensino médio completo ou equivalente,384.0
Belém (PA),2º trimestre 2013,Ensino superior incompleto ou equivalente,49.0
Belém (PA),2º trimestre 2013,Ensino superior completo ou equivalente,128.0
Belém (PA),2º trimestre 2013,Não determinado,0.0
Belém (PA),3º trimestre 2013,Sem instrução e menos de 1 ano de estudo,32.0
Belém (PA),3º trimestre 2013,Ensino fundamental incompleto ou equivalente,293.0
Belém (PA),3º trimestre 2013,Ensino fundamental completo ou equivalente,134.0
Belém (PA),3º trimestre 2013,Ensino médio incompleto ou equivalente,120.0
Belém (PA),3º trimestre 2013,Ensino médio completo ou equivalente,368.0
Belém (PA),3º trimestre 2013,Ensino superior incompleto ou equivalente,52.0
Belém (PA),3º trimestre 2013,Ensino superior completo ou equivalente,134.0
Belém (PA),3º trimestre 2013,Não determinado,0.0
Belém (PA),4º trimestre 2013,Sem instrução e menos de 1 ano de estudo,22.0
Belém (PA),4º trimestre 2013,Ensino fundamental incompleto ou equivalente,307.0
Belém (PA),4º trimestre 2013,Ensino fundamental completo ou equivalente,132.0
Belém (PA),4º trimestre 2013,Ensino médio incompleto ou equivalente,116.0
Belém (PA),4º trimestre 2013,Ensino médio completo ou equivalente,372.0
Belém (PA),4º trimestre 2013,Ensino superior incompleto ou equivalente,52.0
Belém (PA),4º trimestre 2013,Ensino superior completo ou equivalente,131.0
Belém (PA),4º trimestre 2013,Não determinado,0.0
Belém (PA),1º trimestre 2014,Sem instrução e menos de 1 ano de estudo,24.0
Belém (PA),1º trimestre 2014,Ensino fundamental incompleto ou equivalente,325.0
Belém (PA),1º trimestre 2014,Ensino fundamental completo ou equivalente,117.0
Belém (PA),1º trimestre 2014,Ensino médio incompleto ou equivalente,121.0
Belém (PA),1º trimestre 2014,Ensino médio completo ou equivalente,379.0
Belém (PA),1º trimestre 2014,Ensino superior incompleto ou equivalente,58.0
Belém (PA),1º trimestre 2014,Ensino superior completo ou equivalente,135.0
Belém (PA),1º trimestre 2014,Não determinado,0.0
Belém (PA),2º trimestre 2014,Sem instrução e menos de 1 ano de estudo,23.0
Belém (PA),2º trimestre 2014,Ensino fundamental incompleto ou equivalente,319.0
Belém (PA),2º trimestre 2014,Ensino fundamental completo ou equivalente,120.0
Belém (PA),2º trimestre 2014,Ensino médio incompleto ou equivalente,120.0
Belém (PA),2º trimestre 2014,Ensino médio completo ou equivalente,391.0
Belém (PA),2º trimestre 2014,Ensino superior incompleto ou equivalente,59.0
Belém (PA),2º trimestre 2014,Ensino superior completo ou equivalente,129.0
Belém (PA),2º trimestre 2014,Não determinado,0.0
Belém (PA),3º trimestre 2014,Sem instrução e menos de 1 ano de estudo,30.0
Belém (PA),3º trimestre 2014,Ensino fundamental incompleto ou equivalente,322.0
Belém (PA),3º trimestre 2014,Ensino fundamental completo ou equivalente,107.0
Belém (PA),3º trimestre 2014,Ensino médio incompleto ou equivalente,128.0
Belém (PA),3º trimestre 2014,Ensino médio completo ou equivalente,394.0
Belém (PA),3º trimestre 2014,Ensino superior incompleto ou equivalente,63.0
Belém (PA),3º trimestre 2014,Ensino superior completo ou equivalente,121.0
Belém (PA),3º trimestre 2014,Não determinado,0.0
Belém (PA),4º trimestre 2014,Sem instrução e menos de 1 ano de estudo,26.0
Belém (PA),4º trimestre 2014,Ensino fundamental incompleto ou equivalente,329.0
Belém (PA),4º trimestre 2014,Ensino fundamental completo ou equivalente,121.0
Belém (PA),4º trimestre 2014,Ensino médio incompleto ou equivalente,116.0
Belém (PA),4º trimestre 2014,Ensino médio completo ou equivalente,398.0
Belém (PA),4º trimestre 2014,Ensino superior incompleto ou equivalente,65.0
Belém (PA),4º trimestre 2014,Ensino superior completo ou equivalente,110.0
Belém (PA),4º trimestre 2014,Não determinado,0.0
Belém (PA),1º trimestre 2015,Sem instrução e menos de 1 ano de estudo,26.0
Belém (PA),1º trimestre 2015,Ensino fundamental incompleto ou equivalente,318.0
Belém (PA),1º trimestre 2015,Ensino fundamental completo ou equivalente,122.0
Belém (PA),1º trimestre 2015,Ensino médio incompleto ou equivalente,125.0
Belém (PA),1º trimestre 2015,Ensino médio completo ou equivalente,383.0
Belém (PA),1º trimestre 2015,Ensino superior incompleto ou equivalente,66.0
Belém (PA),1º trimestre 2015,Ensino superior completo ou equivalente,117.0
Belém (PA),1º trimestre 2015,Não determinado,0.0
Belém (PA),2º trimestre 2015,Sem instrução e menos de 1 ano de estudo,30.0
Belém (PA),2º trimestre 2015,Ensino fundamental incompleto ou equivalente,317.0
Belém (PA),2º trimestre 2015,Ensino fundamental completo ou equivalente,125.0
Belém (PA),2º trimestre 2015,Ensino médio incompleto ou equivalente,124.0
Belém (PA),2º trimestre 2015,Ensino médio completo ou equivalente,385.0
Belém (PA),2º trimestre 2015,Ensino superior incompleto ou equivalente,66.0
Belém (PA),2º trimestre 2015,Ensino superior completo ou equivalente,107.0
Belém (PA),2º trimestre 2015,Não determinado,0.0
Belém (PA),3º trimestre 2015,Sem instrução e menos de 1 ano de estudo,30.0
Belém (PA),3º trimestre 2015,Ensino fundamental incompleto ou equivalente,321.0
Belém (PA),3º trimestre 2015,Ensino fundamental completo ou equivalente,121.0
Belém (PA),3º trimestre 2015,Ensino médio incompleto ou equivalente,116.0
Belém (PA),3º trimestre 2015,Ensino médio completo ou equivalente,378.0
Belém (PA),3º trimestre 2015,Ensino superior incompleto ou equivalente,64.0
Belém (PA),3º trimestre 2015,Ensino superior completo ou equivalente,130.0
Belém (PA),3º trimestre 2015,Não determinado,0.0
Belém (PA),4º trimestre 2015,Sem instrução e menos de 1 ano de estudo,31.0
Belém (PA),4º trimestre 2015,Ensino fundamental incompleto ou equivalente,325.0
Belém (PA),4º trimestre 2015,Ensino fundamental completo ou equivalente,117.0
Belém (PA),4º trimestre 2015,Ensino médio incompleto ou equivalente,127.0
Belém (PA),4º trimestre 2015,Ensino médio completo ou equivalente,362.0
Belém (PA),4º trimestre 2015,Ensino superior incompleto ou equivalente,64.0
Belém (PA),4º trimestre 2015,Ensino superior completo ou equivalente,133.0
Belém (PA),4º trimestre 2015,Não determinado,0.0
Belém (PA),1º trimestre 2016,Sem instrução e menos de 1 ano de estudo,30.0
Belém (PA),1º trimestre 2016,Ensino fundamental incompleto ou equivalente,295.0
Belém (PA),1º trimestre 2016,Ensino fundamental completo ou equivalente,115.0
Belém (PA),1º trimestre 2016,Ensino médio incompleto ou equivalente,124.0
Belém (PA),1º trimestre 2016,Ensino médio completo ou equivalente,377.0
Belém (PA),1º trimestre 2016,Ensino superior incompleto ou equivalente,70.0
Belém (PA),1º trimestre 2016,Ensino superior completo ou equivalente,146.0
Belém (PA),1º trimestre 2016,Não determinado,0.0
Belém (PA),2º trimestre 2016,Sem instrução e menos de 1 ano de estudo,33.0
Belém (PA),2º trimestre 2016,Ensino fundamental incompleto ou equivalente,305.0
Belém (PA),2º trimestre 2016,Ensino fundamental completo ou equivalente,111.0
Belém (PA),2º trimestre 2016,Ensino médio incompleto ou equivalente,122.0
Belém (PA),2º trimestre 2016,Ensino médio completo ou equivalente,384.0
Belém (PA),2º trimestre 2016,Ensino superior incompleto ou equivalente,68.0
Belém (PA),2º trimestre 2016,Ensino superior completo ou equivalente,145.0
Belém (PA),2º trimestre 2016,Não determinado,0.0
Belém (PA),3º trimestre 2016,Sem instrução e menos de 1 ano de estudo,29.0
Belém (PA),3º trimestre 2016,Ensino fundamental incompleto ou equivalente,304.0
Belém (PA),3º trimestre 2016,Ensino fundamental completo ou equivalente,103.0
Belém (PA),3º trimestre 2016,Ensino médio incompleto ou equivalente,109.0
Belém (PA),3º trimestre 2016,Ensino médio completo ou equivalente,408.0
Belém (PA),3º trimestre 2016,Ensino superior incompleto ou equivalente,71.0
Belém (PA),3º trimestre 2016,Ensino superior completo ou equivalente,154.0
Belém (PA),3º trimestre 2016,Não determinado,0.0
Belém (PA),4º trimestre 2016,Sem instrução e menos de 1 ano de estudo,30.0
Belém (PA),4º trimestre 2016,Ensino fundamental incompleto ou equivalente,307.0
Belém (PA),4º trimestre 2016,Ensino fundamental completo ou equivalente,108.0
Belém (PA),4º trimestre 2016,Ensino médio incompleto ou equivalente,130.0
Belém (PA),4º trimestre 2016,Ensino médio completo ou equivalente,398.0
Belém (PA),4º trimestre 2016,Ensino superior incompleto ou equivalente,67.0
Belém (PA),4º trimestre 2016,Ensino superior completo ou equivalente,158.0
Belém (PA),4º trimestre 2016,Não determinado,0.0
Belém (PA),1º trimestre 2017,Sem instrução e menos de 1 ano de estudo,32.0
Belém (PA),1º trimestre 2017,Ensino fundamental incompleto ou equivalente,288.0
Belém (PA),1º trimestre 2017,Ensino fundamental completo ou equivalente,112.0
Belém (PA),1º trimestre 2017,Ensino médio incompleto ou equivalente,122.0
Belém (PA),1º trimestre 2017,Ensino médio completo ou equivalente,411.0
Belém (PA),1º trimestre 2017,Ensino superior incompleto ou equivalente,72.0
Belém (PA),1º trimestre 2017,Ensino superior completo ou equivalente,157.0
Belém (PA),1º trimestre 2017,Não determinado,0.0
Belém (PA),2º trimestre 2017,Sem instrução e menos de 1 ano de estudo,34.0
Belém (PA),2º trimestre 2017,Ensino fundamental incompleto ou equivalente,303.0
Belém (PA),2º trimestre 2017,Ensino fundamental completo ou equivalente,104.0
Belém (PA),2º trimestre 2017,Ensino médio incompleto ou equivalente,121.0
Belém (PA),2º trimestre 2017,Ensino médio completo ou equivalente,402.0
Belém (PA),2º trimestre 2017,Ensino superior incompleto ou equivalente,69.0
Belém (PA),2º trimestre 2017,Ensino superior completo ou equivalente,164.0
Belém (PA),2º trimestre 2017,Não determinado,0.0
Belém (PA),3º trimestre 2017,Sem instrução e menos de 1 ano de estudo,26.0
Belém (PA),3º trimestre 2017,Ensino fundamental incompleto ou equivalente,289.0
Belém (PA),3º trimestre 2017,Ensino fundamental completo ou equivalente,107.0
Belém (PA),3º trimestre 2017,Ensino médio incompleto ou equivalente,115.0
Belém (PA),3º trimestre 2017,Ensino médio completo ou equivalente,397.0
Belém (PA),3º trimestre 2017,Ensino superior incompleto ou equivalente,78.0
Belém (PA),3º trimestre 2017,Ensino superior completo ou equivalente,192.0
Belém (PA),3º trimestre 2017,Não determinado,0.0
Belém (PA),4º trimestre 2017,Sem instrução e menos de 1 ano de estudo,32.0
Belém (PA),4º trimestre 2017,Ensino fundamental incompleto ou equivalente,295.0
Belém (PA),4º trimestre 2017,Ensino fundamental completo ou equivalente,104.0
Belém (PA),4º trimestre 2017,Ensino médio incompleto ou equivalente,111.0
Belém (PA),4º trimestre 2017,Ensino médio completo ou equivalente,393.0
Belém (PA),4º trimestre 2017,Ensino superior incompleto ou equivalente,75.0
Belém (PA),4º trimestre 2017,Ensino superior completo ou equivalente,191.0
Belém (PA),4º trimestre 2017,Não determinado,0.0
Belém (PA),1º trimestre 2018,Sem instrução e menos de 1 ano de estudo,33.0
Belém (PA),1º trimestre 2018,Ensino fundamental incompleto ou equivalente,287.0
Belém (PA),1º trimestre 2018,Ensino fundamental completo ou equivalente,97.0
Belém (PA),1º trimestre 2018,Ensino médio incompleto ou equivalente,112.0
Belém (PA),1º trimestre 2018,Ensino médio completo ou equivalente,393.0
Belém (PA),1º trimestre 2018,Ensino superior incompleto ou equivalente,76.0
Belém (PA),1º trimestre 2018,Ensino superior completo ou equivalente,199.0
Belém (PA),1º trimestre 2018,Não determinado,0.0
Belém (PA),2º trimestre 2018,Sem instrução e menos de 1 ano de estudo,26.0
Belém (PA),2º trimestre 2018,Ensino fundamental incompleto ou equivalente,287.0
Belém (PA),2º trimestre 2018,Ensino fundamental completo ou equivalente,114.0
Belém (PA),2º trimestre 2018,Ensino médio incompleto ou equivalente,117.0
Belém (PA),2º trimestre 2018,Ensino médio completo ou equivalente,369.0
Belém (PA),2º trimestre 2018,Ensino superior incompleto ou equivalente,79.0
Belém (PA),2º trimestre 2018,Ensino superior completo ou equivalente,211.0
Belém (PA),2º trimestre 2018,Não determinado,0.0
Belém (PA),3º trimestre 2018,Sem instrução e menos de 1 ano de estudo,29.0
Belém (PA),3º trimestre 2018,Ensino fundamental incompleto ou equivalente,293.0
Belém (PA),3º trimestre 2018,Ensino fundamental completo ou equivalente,106.0
Belém (PA),3º trimestre 2018,Ensino médio incompleto ou equivalente,117.0
Belém (PA),3º trimestre 2018,Ensino médio completo ou equivalente,368.0
Belém (PA),3º trimestre 2018,Ensino superior incompleto ou equivalente,92.0
Belém (PA),3º trimestre 2018,Ensino superior completo ou equivalente,201.0
Belém (PA),3º trimestre 2018,Não determinado,0.0
Belém (PA),4º trimestre 2018,Sem instrução e menos de 1 ano de estudo,30.0
Belém (PA),4º trimestre 2018,Ensino fundamental incompleto ou equivalente,275.0
Belém (PA),4º trimestre 2018,Ensino fundamental completo ou equivalente,97.0
Belém (PA),4º trimestre 2018,Ensino médio incompleto ou equivalente,124.0
Belém (PA),4º trimestre 2018,Ensino médio completo ou equivalente,395.0
Belém (PA),4º trimestre 2018,Ensino superior incompleto ou equivalente,70.0
Belém (PA),4º trimestre 2018,Ensino superior completo ou equivalente,216.0
Belém (PA),4º trimestre 2018,Não determinado,0.0
Belém (PA),1º trimestre 2019,Sem instrução e menos de 1 ano de estudo,35.0
Belém (PA),1º trimestre 2019,Ensino fundamental incompleto ou equivalente,269.0
Belém (PA),1º trimestre 2019,Ensino fundamental completo ou equivalente,100.0
Belém (PA),1º trimestre 2019,Ensino médio incompleto ou equivalente,122.0
Belém (PA),1º trimestre 2019,Ensino médio completo ou equivalente,387.0
Belém (PA),1º trimestre 2019,Ensino superior incompleto ou equivalente,73.0
Belém (PA),1º trimestre 2019,Ensino superior completo ou equivalente,223.0
Belém (PA),1º trimestre 2019,Não determinado,0.0
Belém (PA),2º trimestre 2019,Sem instrução e menos de 1 ano de estudo,29.0
Belém (PA),2º trimestre 2019,Ensino fundamental incompleto ou equivalente,267.0
Belém (PA),2º trimestre 2019,Ensino fundamental completo ou equivalente,105.0
Belém (PA),2º trimestre 2019,Ensino médio incompleto ou equivalente,111.0
Belém (PA),2º trimestre 2019,Ensino médio completo ou equivalente,404.0
Belém (PA),2º trimestre 2019,Ensino superior incompleto ou equivalente,75.0
Belém (PA),2º trimestre 2019,Ensino superior completo ou equivalente,217.0
Belém (PA),2º trimestre 2019,Não determinado,0.0
Belém (PA),3º trimestre 2019,Sem instrução e menos de 1 ano de estudo,26.0
Belém (PA),3º trimestre 2019,Ensino fundamental incompleto ou equivalente,253.0
Belém (PA),3º trimestre 2019,Ensino fundamental completo ou equivalente,95.0
Belém (PA),3º trimestre 2019,Ensino médio incompleto ou equivalente,120.0
Belém (PA),3º trimestre 2019,Ensino médio completo ou equivalente,401.0
Belém (PA),3º trimestre 2019,Ensino superior incompleto ou equivalente,78.0
Belém (PA),3º trimestre 2019,Ensino superior completo ou equivalente,241.0
Belém (PA),3º trimestre 2019,Não determinado,0.0
Belém (PA),4º trimestre 2019,Sem instrução e menos de 1 ano de estudo,25.0
Belém (PA),4º trimestre 2019,Ensino fundamental incompleto ou equivalente,251.0
Belém (PA),4º trimestre 2019,Ensino fundamental completo ou equivalente,101.0
Belém (PA),4º trimestre 2019,Ensino médio incompleto ou equivalente,107.0
Belém (PA),4º trimestre 2019,Ensino médio completo ou equivalente,420.0
Belém (PA),4º trimestre 2019,Ensino superior incompleto ou equivalente,80.0
Belém (PA),4º trimestre 2019,Ensino superior completo ou equivalente,240.0
Belém (PA),4º trimestre 2019,Não determinado,0.0
Belém (PA),1º trimestre 2020,Sem instrução e menos de 1 ano de estudo,21.0
Belém (PA),1º trimestre 2020,Ensino fundamental incompleto ou equivalente,243.0
Belém (PA),1º trimestre 2020,Ensino fundamental completo ou equivalente,97.0
Belém (PA),1º trimestre 2020,Ensino médio incompleto ou equivalente,109.0
Belém (PA),1º trimestre 2020,Ensino médio completo ou equivalente,419.0
Belém (PA),1º trimestre 2020,Ensino superior incompleto ou equivalente,84.0
Belém (PA),1º trimestre 2020,Ensino superior completo ou equivalente,246.0
Belém (PA),1º trimestre 2020,Não determinado,0.0
Belém (PA),2º trimestre 2020,Sem instrução e menos de 1 ano de estudo,0.0
Belém (PA),2º trimestre 2020,Ensino fundamental incompleto ou equivalente,0.0
Belém (PA),2º trimestre 2020,Ensino fundamental completo ou equivalente,0.0
Belém (PA),2º trimestre 2020,Ensino médio incompleto ou equivalente,0.0
Belém (PA),2º trimestre 2020,Ensino médio completo ou equivalente,0.0
Belém (PA),2º trimestre 2020,Ensino superior incompleto ou equivalente,0.0
Belém (PA),2º trimestre 2020,Ensino superior completo ou equivalente,0.0
Belém (PA),2º trimestre 2020,Não determinado,0.0
Belém (PA),3º trimestre 2020,Sem instrução e menos de 1 ano de estudo,0.0
Belém (PA),3º trimestre 2020,Ensino fundamental incompleto ou equivalente,0.0
Belém (PA),3º trimestre 2020,Ensino fundamental completo ou equivalente,0.0
Belém (PA),3º trimestre 2020,Ensino médio incompleto ou equivalente,0.0
Belém (PA),3º trimestre 2020,Ensino médio completo ou equivalente,0.0
Belém (PA),3º trimestre 2020,Ensino superior incompleto ou equivalente,0.0
Belém (PA),3º trimestre 2020,Ensino superior completo ou equivalente,0.0
Belém (PA),3º trimestre 2020,Não determinado,0.0
Belém (PA),4º trimestre 2020,Sem instrução e menos de 1 ano de estudo,0.0
Belém (PA),4º trimestre 2020,Ensino fundamental incompleto ou equivalente,0.0
Belém (PA),4º trimestre 2020,Ensino fundamental completo ou equivalente,0.0
Belém (PA),4º trimestre 2020,Ensino médio incompleto ou equivalente,0.0
Belém (PA),4º trimestre 2020,Ensino médio completo ou equivalente,0.0
Belém (PA),4º trimestre 2020,Ensino superior incompleto ou equivalente,0.0
Belém (PA),4º trimestre 2020,Ensino superior completo ou equivalente,0.0
Belém (PA),4º trimestre 2020,Não determinado,0.0
Belém (PA),1º trimestre 2021,Sem instrução e menos de 1 ano de estudo,0.0
Belém (PA),1º trimestre 2021,Ensino fundamental incompleto ou equivalente,0.0
Belém (PA),1º trimestre 2021,Ensino fundamental completo ou equivalente,0.0
Belém (PA),1º trimestre 2021,Ensino médio incompleto ou equivalente,0.0
Belém (PA),1º trimestre 2021,Ensino médio completo ou equivalente,0.0
Belém (PA),1º trimestre 2021,Ensino superior incompleto ou equivalente,0.0
Belém (PA),1º trimestre 2021,Ensino superior completo ou equivalente,0.0
Belém (PA),1º trimestre 2021,Não determinado,0.0
Belém (PA),2º trimestre 2021,Sem instrução e menos de 1 ano de estudo,0.0
Belém (PA),2º trimestre 2021,Ensino fundamental incompleto ou equivalente,0.0
Belém (PA),2º trimestre 2021,Ensino fundamental completo ou equivalente,0.0
Belém (PA),2º trimestre 2021,Ensino médio incompleto ou equivalente,0.0
Belém (PA),2º trimestre 2021,Ensino médio completo ou equivalente,0.0
Belém (PA),2º trimestre 2021,Ensino superior incompleto ou equivalente,0.0
Belém (PA),2º trimestre 2021,Ensino superior completo ou equivalente,0.0
Belém (PA),2º trimestre 2021,Não determinado,0.0
Belém (PA),3º trimestre 2021,Sem instrução e menos de 1 ano de estudo,0.0
Belém (PA),3º trimestre 2021,Ensino fundamental incompleto ou equivalente,0.0
Belém (PA),3º trimestre 2021,Ensino fundamental completo ou equivalente,0.0
Belém (PA),3º trimestre 2021,Ensino médio incompleto ou equivalente,0.0
Belém (PA),3º trimestre 2021,Ensino médio completo ou equivalente,0.0
Belém (PA),3º trimestre 2021,Ensino superior incompleto ou equivalente,0.0
Belém (PA),3º trimestre 2021,Ensino superior completo ou equivalente,0.0
Belém (PA),3º trimestre 2021,Não determinado,0.0
Belém (PA),4º trimestre 2021,Sem instrução e menos de 1 ano de estudo,0.0
Belém (PA),4º trimestre 2021,Ensino fundamental incompleto ou equivalente,0.0
Belém (PA),4º trimestre 2021,Ensino fundamental completo ou equivalente,0.0
Belém (PA),4º trimestre 2021,Ensino médio incompleto ou equivalente,0.0
Belém (PA),4º trimestre 2021,Ensino médio completo ou equivalente,0.0
Belém (PA),4º trimestre 2021,Ensino superior incompleto ou equivalente,0.0
Belém (PA),4º trimestre 2021,Ensino superior completo ou equivalente,0.0
Belém (PA),4º trimestre 2021,Não determinado,0.0
Belém (PA),1º trimestre 2022,Sem instrução e menos de 1 ano de estudo,0.0
Belém (PA),1º trimestre 2022,Ensino fundamental incompleto ou equivalente,0.0
Belém (PA),1º trimestre 2022,Ensino fundamental completo ou equivalente,0.0
Belém (PA),1º trimestre 2022,Ensino médio incompleto ou equivalente,0.0
Belém (PA),1º trimestre 2022,Ensino médio completo ou equivalente,0.0
Belém (PA),1º trimestre 2022,Ensino superior incompleto ou equivalente,0.0
Belém (PA),1º trimestre 2022,Ensino superior completo ou equivalente,0.0
Belém (PA),1º trimestre 2022,Não determinado,0.0
Belém (PA),2º trimestre 2022,Sem instrução e menos de 1 ano de estudo,21.0
Belém (PA),2º trimestre 2022,Ensino fundamental incompleto ou equivalente,226.0
Belém (PA),2º trimestre 2022,Ensino fundamental completo ou equivalente,102.0
Belém (PA),2º trimestre 2022,Ensino médio incompleto ou equivalente,114.0
Belém (PA),2º trimestre 2022,Ensino médio completo ou equivalente,434.0
Belém (PA),2º trimestre 2022,Ensino superior incompleto ou equivalente,84.0
Belém (PA),2º trimestre 2022,Ensino superior completo ou equivalente,279.0
Belém (PA),2º trimestre 2022,Não determinado,0.0
Belém (PA),3º trimestre 2022,Sem instrução e menos de 1 ano de estudo,21.0
